ID,Placa,Produto,Peso Bruto,Peso Liquido
L2026-000054,ABC3132,Trigo,40.05844219416658,26.908204929307857
L2026-000055,ABC9618,Trigo,35.62938087362319,25.235542560389987
L2026-000056,ABC1803,Milho,32.20728231709643,25.69568222253206
L2026-000057,ABC5206,Soja,44.62783285718841,27.635012607337895
L2026-000058,ABC3877,Milho,37.16653362927759,27.75822815724864
L2026-000059,ABC2772,Soja,31.800186418857688,28.473525814645896
L2026-000060,ABC3556,Trigo,44.792210100307685,25.753932388174558
L2026-000061,ABC2281,Soja,42.646614001355495,27.375854893534346
L2026-000062,ABC3722,Algodão,37.97853603673418,26.761617911045334
L2026-000063,ABC8857,Soja,30.4022649288874,26.696625691792025
L2026-000064,ABC1035,Trigo,36.13177168357524,28.55101864407173
L2026-000065,ABC9675,Milho,40.799275993151085,26.091542938510802
L2026-000066,ABC6596,Milho,44.69488785968752,27.715228834668572
L2026-000067,ABC3498,Milho,38.29854704168295,28.84474377449497
L2026-000068,ABC3168,Soja,38.81009053457167,25.538502646011445
L2026-000069,ABC1107,Algodão,36.64157377410175,25.58808100405902
L2026-000070,ABC7501,Soja,30.312399728366053,25.09781162845655
L2026-000071,ABC7333,Algodão,35.19287571775969,27.959181204020776
L2026-000072,ABC5627,Trigo,44.035586125498675,26.768707496886734
L2026-000073,ABC7698,Milho,43.02739347472848,25.51986432521315
L2026-000074,ABC6875,Trigo,36.82954768248044,28.27217343255748
L2026-000075,ABC3912,Milho,31.631342380724693,27.778364856678575
L2026-000076,ABC2006,Trigo,39.194196634869385,26.21962218462051
L2026-000077,ABC4423,Algodão,41.48583041749919,25.60243889401081
L2026-000078,ABC6705,Soja,43.39652477187969,27.3950010706393
L2026-000079,ABC7948,Algodão,36.46449835945314,25.028389727221228
L2026-000080,ABC3344,Milho,40.48881755076373,25.110374268443564
L2026-000081,ABC3401,Milho,40.98158514125993,25.443803688337443
L2026-000082,ABC1237,Trigo,36.77209333562112,25.882050108019033
L2026-000083,ABC3148,Trigo,31.566003292275617,28.215297959497025
L2026-000084,ABC7423,Trigo,37.34319539866916,25.924692390005347
L2026-000085,ABC7829,Algodão,34.716853424559815,26.014915796468646
L2026-000086,ABC4657,Milho,36.93639429485545,25.38030504172138
L2026-000087,ABC1588,Milho,43.10255860996514,25.833085153871014
L2026-000088,ABC5302,Milho,37.466218558216305,28.55529923222545
L2026-000089,ABC6821,Trigo,26.11837849101739,28.11837849101739
L2026-000090,ABC5861,Soja,41.23209536500838,26.924349091404903
L2026-000091,ABC8216,Soja,34.35237508843584,28.712235463469078
L2026-000092,ABC3542,Soja,34.61925718937893,27.95675683507077
L2026-000093,ABC6717,Trigo,35.10486482861207,26.988827136835987
L2026-000094,ABC8152,Trigo,34.96425342040336,26.173703745166964
L2026-000095,ABC7252,Milho,40.903706528907435,25.49140568482757
L2026-000096,ABC1772,Trigo,43.32061700081181,27.528421087594467
L2026-000097,ABC3727,Trigo,38.462929580520594,27.70122822330988
L2026-000098,ABC9503,Soja,31.69916289372959,27.626358456717732
L2026-000099,ABC7225,Trigo,41.0141959448714,28.100940170504394
L2026-000100,ABC3240,Milho,41.860620896437936,25.465446206962593
L2026-000101,ABC3497,Algodão,41.89317127803326,27.3416898429358
L2026-000102,ABC5083,Milho,32.62910117273293,25.242601227498845
L2026-000103,ABC4766,Trigo,38.63130816633061,28.681438524382724
L2026-000104,ABC1885,Algodão,36.02388649133322,26.57719291332209
L2026-000105,ABC1503,Algodão,35.14332750860881,26.30610935345701
L2026-000106,ABC7650,Trigo,44.32514074551313,25.716364022101512
L2026-000107,ABC9724,Trigo,36.63671013993358,25.386306889174804
L2026-000108,ABC3944,Trigo,33.019403320573794,28.079836566602005
L2026-000109,ABC7306,Milho,43.31265922201666,28.4925053370746
L2026-000110,ABC7029,Milho,31.9235688670556,26.29688085636395
L2026-000111,ABC8680,Trigo,37.68997360663443,26.37557609619155
L2026-000112,ABC5786,Algodão,44.733779448303764,25.40381476120605
L2026-000113,ABC6499,Algodão,31.10792285786637,27.317478119125013
L2026-000114,ABC1914,Milho,37.58688654492666,25.786896027342113
L2026-000115,ABC2145,Algodão,38.59037262203712,27.040863871562383
L2026-000116,ABC4425,Trigo,37.423602418238765,27.84517418703721
L2026-000117,ABC3648,Soja,39.46532189874407,28.95441071308149
L2026-000118,ABC3159,Milho,31.40501400906582,28.473440413934153
L2026-000119,ABC5731,Soja,37.12615584027711,28.947126984265672
L2026-000120,ABC4515,Soja,42.042038147275214,28.9572756896335
L2026-000121,ABC6651,Milho,40.133156664387904,25.665458074666777
L2026-000122,ABC7426,Milho,42.370680299669296,25.512799667340673
L2026-000123,ABC6665,Trigo,31.12766518129146,25.657850209978147
L2026-000124,ABC8751,Milho,43.258236054359756,27.054748835129026
L2026-000125,ABC6332,Trigo,35.06223146528088,27.80789500295809
L2026-000126,ABC7236,Trigo,43.93387292436255,28.517708664171543
L2026-000127,ABC7427,Soja,35.22470020540457,28.222658162888557
L2026-000128,ABC7746,Soja,36.39376763485019,26.54461371519844
L2026-000129,ABC6235,Algodão,34.61244717559316,28.6488262523242
L2026-000130,ABC5951,Algodão,43.589395315961646,25.607612528995368
L2026-000131,ABC9852,Algodão,36.05679430351622,27.841041901118025
L2026-000132,ABC4711,Milho,33.61621772092243,28.44235989515196
L2026-000133,ABC6734,Milho,35.68950228105477,26.919290860990518
L2026-000134,ABC1243,Trigo,25.020013134644856,27.020013134644856
L2026-000135,ABC4413,Trigo,40.417052821686454,28.882367084177368
L2026-000136,ABC5572,Soja,39.932878325714974,25.49559190348291
L2026-000137,ABC3383,Algodão,37.008782918154594,27.08566488186694
L2026-000138,ABC3559,Trigo,44.08018054235311,27.91452223522585
L2026-000139,ABC3428,Algodão,39.92254392518487,25.638761213720777
L2026-000140,ABC3356,Trigo,33.276757071576554,27.549373083158773
L2026-000141,ABC6050,Soja,41.30501140956425,25.880418840900866
L2026-000142,ABC2487,Soja,36.62271541348521,28.374733583650812
L2026-000143,ABC7860,Algodão,31.543075866579237,28.264797278786407
L2026-000144,ABC1845,Algodão,33.22335756791155,27.574827978649388
L2026-000145,ABC7625,Milho,30.679843921088956,26.622291020034098
L2026-000146,ABC9370,Algodão,33.57094723776089,28.871174863419487
L2026-000147,ABC5816,Milho,41.29311990398854,27.567485140011495
L2026-000148,ABC1744,Trigo,43.91179248537226,25.469550856702405
L2026-000149,ABC8630,Soja,42.6208320597819,28.12422081836472
L2026-000150,ABC2526,Trigo,37.275287958941504,28.308017718319388
L2026-000151,ABC9186,Algodão,38.19326025490413,25.6818716547275
L2026-000152,ABC4443,Milho,32.21271997942131,25.64708336975313
L2026-000153,ABC9010,Milho,36.31041294567051,28.93758281839009
L2026-000154,ABC9664,Soja,42.49664935378349,26.712474960919803
L2026-000155,ABC8306,Trigo,34.523356043214356,25.878437126598097
L2026-000156,ABC4656,Milho,44.45774341707625,27.453004130651408
L2026-000157,ABC1243,Milho,43.637129399262946,26.690641504611705
L2026-000158,ABC8760,Milho,41.402054917130556,25.16373566984841
L2026-000159,ABC3672,Algodão,31.45460495891757,28.05959506884656
L2026-000160,ABC9307,Trigo,36.92230707265076,26.917661040768213
L2026-000161,ABC7749,Milho,33.384331759513344,28.513050993627154
L2026-000162,ABC7121,Milho,30.230256623597747,25.59343775799387
L2026-000163,ABC6184,Trigo,36.735472849658116,25.259000477239173
L2026-000164,ABC9195,Soja,33.887648257203395,28.63923946633941
L2026-000165,ABC2743,Trigo,40.101237388129725,27.796431066703132
L2026-000166,ABC4171,Soja,37.41956452532037,25.175139055157302
L2026-000167,ABC9119,Trigo,44.150903076665394,26.690956210308787
L2026-000168,ABC8646,Algodão,36.6827798889234,28.890379999250747
L2026-000169,ABC6717,Trigo,38.40228030881261,25.993930483721858
L2026-000170,ABC7286,Milho,33.71992037250325,27.57122587959616
L2026-000171,ABC3833,Soja,44.88218308674108,28.35699434142568
L2026-000172,ABC2684,Soja,34.24936980575378,28.65882988041564
L2026-000173,ABC4664,Milho,30.981752553548066,25.869262060112902
L2026-000174,ABC4019,Milho,43.56018640679868,28.891004883493718
L2026-000175,ABC4212,Soja,31.649379118403246,27.620965804591062
L2026-000176,ABC7965,Milho,34.970132688501806,25.301426531306802
L2026-000177,ABC5569,Algodão,41.32064095007408,25.21848214725461
L2026-000178,ABC6501,Trigo,44.41328445024487,26.06456873859507
L2026-000179,ABC4131,Milho,32.979569530549256,26.349982379395467
L2026-000180,ABC6515,Algodão,26.24969309070084,28.24969309070084
L2026-000181,ABC2613,Milho,30.754997657641077,28.974020209556357
L2026-000182,ABC6070,Algodão,43.58570477798441,25.98602031360507
L2026-000183,ABC9714,Soja,38.584549439510624,25.694269146334317
L2026-000184,ABC3882,Algodão,38.71840818880192,25.43947918075555
L2026-000185,ABC7555,Soja,43.23180595832294,28.81307560887767
L2026-000186,ABC7166,Algodão,31.145974239381005,26.993671901186946
L2026-000187,ABC6581,Algodão,44.979823050545704,27.799796898344905
L2026-000188,ABC8490,Algodão,33.728304984309204,27.34908608945746
L2026-000189,ABC6423,Soja,31.36843145815359,28.14660346702171
L2026-000190,ABC7962,Milho,31.380707635223338,28.623189977454246
L2026-000191,ABC1884,Trigo,44.704800336777566,27.23002088782584
L2026-000192,ABC9223,Soja,31.489891174681645,25.862562356709272
L2026-000193,ABC5768,Milho,43.225867967612544,28.839988501933174
L2026-000194,ABC8773,Soja,38.93217935467825,28.80146607889541
L2026-000195,ABC3606,Milho,33.20113690236369,27.662156780535014
L2026-000196,ABC1501,Trigo,38.346254067128044,25.020636357080722
L2026-000197,ABC1315,Soja,43.495052029728114,28.790765997468405
L2026-000198,ABC1632,Algodão,35.50077578558599,26.461540051322178
L2026-000199,ABC5693,Algodão,33.47353151434096,27.070869501930225
L2026-000200,ABC9812,Milho,35.923122886544206,27.547387404050497
L2026-000201,ABC3548,Algodão,35.688018607312046,27.929054783626302
L2026-000202,ABC5283,Algodão,36.91143085300025,27.012657145179872
L2026-000203,ABC5991,Algodão,41.858031537015435,26.72269536118198
L2026-000204,ABC8354,Trigo,38.28830969389094,25.292820623255178
L2026-000205,ABC6475,Trigo,44.63014731539518,27.895060522308786
L2026-000206,ABC6253,Soja,44.99647678437786,26.489805117565197
L2026-000207,ABC4022,Trigo,30.686186790369963,25.465747092584802
L2026-000208,ABC7069,Milho,43.915164076431125,26.693841870328217
L2026-000209,ABC5469,Milho,39.22394028133955,26.920045394540924
L2026-000210,ABC9744,Milho,38.083195308612204,27.680272902221564
L2026-000211,ABC6121,Soja,41.66110240630567,26.457967278388004
L2026-000212,ABC5143,Algodão,30.028902700521808,28.800729328931304
L2026-000213,ABC5979,Algodão,39.23702013848376,25.641786283555703
L2026-000214,ABC1787,Milho,40.53036249417218,25.439058290219883
L2026-000215,ABC6786,Soja,41.739675035874,28.680544874564728
L2026-000216,ABC6224,Trigo,39.13105688220626,28.446458447365483
L2026-000217,ABC9834,Soja,30.078897961277868,27.15822830320476
L2026-000218,ABC8855,Algodão,38.13552468869226,28.603980178429243
L2026-000219,ABC2836,Soja,36.77190419564662,27.619465136253613
L2026-000220,ABC9946,Trigo,30.718954737403312,26.35242919921189
L2026-000221,ABC8553,Soja,35.350847797962636,25.058872975304492
L2026-000222,ABC3220,Milho,39.060172686166005,25.349417271467367
L2026-000223,ABC8015,Soja,31.564836634973616,28.938249165213733
L2026-000224,ABC7229,Algodão,37.90384535511965,27.57236060286129
L2026-000225,ABC6623,Soja,30.100562411610174,28.665142159126535
L2026-000226,ABC9173,Algodão,32.0897493194264,27.64402979309041
L2026-000227,ABC4295,Algodão,40.37338266302832,28.921185050090628
L2026-000228,ABC2245,Algodão,33.53224101844946,27.414049458782408
L2026-000229,ABC9316,Trigo,34.18543327051654,26.10051687436384
L2026-000230,ABC4394,Trigo,41.783061252885226,27.379653740166418
L2026-000231,ABC1536,Milho,38.25864699322444,25.858107339997236
L2026-000232,ABC6531,Milho,31.123947550677,27.928798468920885
L2026-000233,ABC1634,Trigo,24.447974359494015,26.447974359494015
L2026-000234,ABC7950,Trigo,39.808562015614534,26.008463438464997
L2026-000235,ABC6303,Milho,34.75028188293578,28.139267837119966
L2026-000236,ABC5356,Trigo,34.07329272559793,25.584263202256565
L2026-000237,ABC4643,Trigo,38.37819459676858,28.60856033543792
L2026-000238,ABC9481,Soja,34.300556211101046,25.813389435625318
L2026-000239,ABC9839,Algodão,32.55849758228381,28.376374124685675
L2026-000240,ABC2873,Trigo,40.62994135878177,28.01590966013688
L2026-000241,ABC3854,Trigo,39.23592615677592,27.75417450369092
L2026-000242,ABC3221,Algodão,44.00009724851714,28.116273670573342
L2026-000243,ABC8438,Trigo,26.041596602488468,28.041596602488468
L2026-000244,ABC2518,Algodão,39.53586119497211,28.939362640213325
L2026-000245,ABC4846,Soja,32.07647228094865,28.36045092678627
L2026-000246,ABC3762,Milho,40.67364796059959,28.207588802666297
L2026-000247,ABC2781,Milho,35.71040721805799,28.47948487889633
L2026-000248,ABC7734,Soja,32.64631901605928,25.25786658625118
L2026-000249,ABC4638,Milho,37.99290847751241,26.381077299660966
L2026-000250,ABC5403,Trigo,34.39060584704303,26.41298000429295
L2026-000251,ABC3362,Soja,36.5922794232064,26.247673636966024
L2026-000252,ABC1430,Soja,34.82262795395982,28.493410854832625
L2026-000253,ABC3667,Trigo,24.608313142418464,26.608313142418464
L2026-000254,ABC2805,Algodão,38.697063807418616,27.042444084970814
L2026-000255,ABC1480,Milho,31.215964905504205,27.31544137213055
L2026-000256,ABC4127,Milho,42.80330538222218,26.477424740127052
L2026-000257,ABC1491,Soja,41.66541732840085,26.62323469928036
L2026-000258,ABC2990,Trigo,25.829357932753922,27.829357932753922
L2026-000259,ABC9837,Algodão,43.86421515420203,26.544558361753637
L2026-000260,ABC3560,Algodão,40.348492982107224,26.00974348821307
L2026-000261,ABC3256,Algodão,42.1622879682676,28.841505259764435
L2026-000262,ABC4835,Trigo,34.17934779901935,25.943049102380225
L2026-000263,ABC2816,Soja,44.648242990224844,25.990183683593532
L2026-000264,ABC9817,Trigo,34.08431334581308,28.56268037365887
L2026-000265,ABC1747,Trigo,33.447836949113594,25.373191468678833
L2026-000266,ABC2556,Soja,41.7916606759437,26.24234225562455
L2026-000267,ABC9800,Trigo,36.12734755213117,27.788910834129986
L2026-000268,ABC3686,Soja,35.11030001561487,28.20514783701091
L2026-000269,ABC6918,Milho,31.90115863020692,25.713573680501558
L2026-000270,ABC4383,Trigo,39.166505221215715,25.417617803373176
L2026-000271,ABC4690,Algodão,36.309252111886686,28.550301993806748
L2026-000272,ABC3379,Milho,36.2985548507298,25.353239487698144
L2026-000273,ABC6180,Soja,40.966752928031404,27.385207147500378
L2026-000274,ABC6960,Soja,35.05059663178483,26.03029884069995
L2026-000275,ABC3395,Algodão,35.88094487760628,27.453694897205317
L2026-000276,ABC9119,Trigo,35.71698094496914,26.994198725775032
L2026-000277,ABC6777,Trigo,33.96130505314791,25.00085291287389
L2026-000278,ABC5679,Milho,30.111657814614315,26.186795178519212
L2026-000279,ABC5628,Soja,36.9748520092906,27.50594166797626
L2026-000280,ABC5890,Algodão,33.51397095520516,25.69520743420233
L2026-000281,ABC4876,Algodão,42.097100262956026,27.897244180173985
L2026-000282,ABC9487,Milho,36.49431981299663,25.506705112248568
L2026-000283,ABC2021,Milho,40.95780703949639,27.555463748552988
L2026-000284,ABC6465,Algodão,38.48006983376972,28.790940460759696
L2026-000285,ABC8889,Soja,43.36774826764674,25.07419554358403
L2026-000286,ABC5552,Milho,38.45063645331814,26.669861786388996
L2026-000287,ABC7033,Soja,41.20244154524754,25.371104373922964
L2026-000288,ABC1219,Milho,33.0133507610008,28.7776885712597
L2026-000289,ABC8891,Algodão,36.631651026761816,27.08468405894168
L2026-000290,ABC6390,Trigo,44.75793301188219,26.29695691512186
L2026-000291,ABC8028,Trigo,38.84524151202524,27.05692016566298
L2026-000292,ABC9985,Algodão,43.72451408095514,26.027823729140678
L2026-000293,ABC2489,Soja,37.54672659058038,28.54633257513678
L2026-000294,ABC6152,Algodão,38.35770850534526,26.495556329517257
L2026-000295,ABC6061,Soja,43.841657824234204,25.583982692405808
L2026-000296,ABC7503,Trigo,43.27308619565969,27.63554422982939
L2026-000297,ABC4633,Trigo,24.399794938702975,26.399794938702975
L2026-000298,ABC8551,Soja,37.45077365296303,28.7840492149543
L2026-000299,ABC9042,Milho,31.70335230088817,28.893013074746165
L2026-000300,ABC1870,Milho,40.977736589826144,28.295590967730316
L2026-000301,ABC1966,Milho,39.71572160756288,28.3777765854262
L2026-000302,ABC1698,Milho,43.26677006801791,26.496077453438247
L2026-000303,ABC4700,Milho,30.63118943165266,25.255408845390004
L2026-000304,ABC3768,Milho,43.2889738945298,27.7173303229102
L2026-000305,ABC9517,Algodão,37.41222026241402,25.05468147225263
L2026-000306,ABC4725,Algodão,38.4768250576198,28.876049851341165
L2026-000307,ABC8506,Trigo,44.357764286427,27.95347555176061
L2026-000308,ABC1403,Trigo,44.142001253664276,27.699548352570737
L2026-000309,ABC4180,Algodão,26.439965974801492,28.439965974801492
L2026-000310,ABC7440,Soja,35.322215688348145,26.168709377686646
L2026-000311,ABC5469,Soja,37.38493486990631,28.906996452191283
L2026-000312,ABC3554,Soja,40.9424568746945,28.460959011234277
L2026-000313,ABC3599,Algodão,35.91962229304045,27.915693647930045
L2026-000314,ABC1609,Milho,33.6436781692181,25.47607227237284
L2026-000315,ABC2208,Trigo,44.96423037548308,25.37903752047494
L2026-000316,ABC5794,Trigo,37.92557712316778,26.326102288010222
L2026-000317,ABC5120,Trigo,37.27454522817791,28.441765163714024
L2026-000318,ABC4069,Algodão,34.98720762034004,25.43741803005737
L2026-000319,ABC3898,Algodão,32.887889329406704,28.04715231084704
L2026-000320,ABC2238,Milho,36.08707591632843,28.648454302514207
L2026-000321,ABC3677,Trigo,33.022171614038754,27.04102179273494
L2026-000322,ABC5429,Milho,34.61408791177245,28.53440003964655
L2026-000323,ABC9286,Soja,33.138192203005815,25.69166139531731
L2026-000324,ABC1085,Soja,38.68124383793749,28.72970995934447
L2026-000325,ABC1286,Milho,32.44168276740591,26.597122145047575
L2026-000326,ABC9766,Milho,41.41937515128569,27.786063339825496
L2026-000327,ABC3931,Algodão,39.37454840338041,25.276828033917905
L2026-000328,ABC3496,Algodão,36.19504875417945,25.533934193288335
L2026-000329,ABC2559,Soja,39.47395437582674,25.673152685561135
L2026-000330,ABC6927,Milho,43.77968310939241,28.746928205490608
L2026-000331,ABC9149,Algodão,26.96682522299971,28.96682522299971
L2026-000332,ABC3975,Milho,38.2445485276381,26.72529531348331
L2026-000333,ABC5935,Algodão,43.430479187215305,27.789730139824854
L2026-000334,ABC1133,Algodão,37.16737177118873,26.60863791902791
L2026-000335,ABC5775,Soja,41.6765008812211,26.52322975773932
L2026-000336,ABC8523,Trigo,33.877052109694674,26.640321624636265
L2026-000337,ABC7583,Algodão,37.72707879232775,25.604496892439457
L2026-000338,ABC3532,Trigo,35.15566381964577,27.429721070334093
L2026-000339,ABC5385,Trigo,33.451085032846976,28.495411581756045
L2026-000340,ABC8499,Milho,39.685143127507644,27.218923204135454
L2026-000341,ABC2180,Trigo,24.162233327435324,26.162233327435324
L2026-000342,ABC2790,Milho,44.22105411973875,27.612820781728537
L2026-000343,ABC8539,Trigo,34.47496429511988,27.95965537521053
L2026-000344,ABC2935,Trigo,38.70908478630773,25.934112858054917
L2026-000345,ABC7552,Algodão,33.952521898990994,27.2445579246082
L2026-000346,ABC3698,Soja,44.516658385868965,25.00207360583765
L2026-000347,ABC3074,Milho,26.249725254868164,28.249725254868164
L2026-000348,ABC9432,Soja,43.00239072898541,28.43241245148202
L2026-000349,ABC3482,Algodão,39.79286342798088,25.75813643406564
L2026-000350,ABC8902,Milho,41.70960548116598,26.40644382437101
L2026-000351,ABC5287,Algodão,34.487312618974165,25.612264928604347
L2026-000352,ABC9381,Algodão,35.72111162771685,28.067201171515517
L2026-000353,ABC3565,Milho,41.84106731297356,26.0950561028434
L2026-000354,ABC9829,Algodão,37.09942863726255,27.158801908115457
L2026-000355,ABC1430,Soja,25.100638178128158,27.100638178128158
L2026-000356,ABC6550,Soja,37.27317433911508,26.810784306304615
L2026-000357,ABC6419,Trigo,35.86478073697355,28.24540723807968
L2026-000358,ABC5184,Milho,40.95413992232907,25.598387931646176
L2026-000359,ABC4692,Algodão,35.699556789091325,27.598875275525625
L2026-000360,ABC5580,Soja,41.986059183769775,27.892049181537512
L2026-000361,ABC9579,Soja,34.8590703138574,27.017865235799945
L2026-000362,ABC4841,Trigo,40.0329767701643,25.060607413990198
L2026-000363,ABC3097,Trigo,44.38610510606658,26.979393732506978
L2026-000364,ABC9996,Trigo,42.28916368707357,27.55640039192413
L2026-000365,ABC7873,Milho,44.53457878438893,26.088145420053227
L2026-000366,ABC2413,Trigo,38.61852197048492,27.052527680034068
L2026-000367,ABC7025,Trigo,32.91815547498414,27.765717413867712
L2026-000368,ABC3945,Algodão,34.781670228300754,27.45226523117818
L2026-000369,ABC2771,Algodão,43.495938707537434,25.19652029723382
L2026-000370,ABC3736,Soja,34.395537886071565,25.145034545122694
L2026-000371,ABC4666,Milho,40.71216765394255,25.79726100443246
L2026-000372,ABC4703,Milho,40.56102944292349,26.05511994164833
L2026-000373,ABC9935,Trigo,42.099534605360205,28.647626692322746
L2026-000374,ABC3708,Milho,42.9446371872369,25.270010132056935
L2026-000375,ABC1179,Milho,42.424929242355304,25.68277356436618
L2026-000376,ABC5189,Soja,37.870036450786635,26.427823202883456
L2026-000377,ABC2625,Soja,38.425283580495375,27.30678330200718
L2026-000378,ABC5322,Trigo,31.553220518452886,27.388062684808528
L2026-000379,ABC2954,Soja,43.782030448032145,25.460479518985515
L2026-000380,ABC9247,Milho,33.37061125777713,28.21687692768023
L2026-000381,ABC1089,Trigo,42.67960847427571,26.35785102546133
L2026-000382,ABC4967,Trigo,42.641562092763564,26.152176931108727
L2026-000383,ABC7571,Trigo,30.78573514804002,27.208624684624233
L2026-000384,ABC1863,Algodão,38.134536282365886,26.622310171431717
L2026-000385,ABC7967,Algodão,43.78615505148085,25.204857520927856
L2026-000386,ABC9666,Algodão,38.86942660508901,26.566644094894542
L2026-000387,ABC7914,Soja,31.158083781659,26.300105235757147
L2026-000388,ABC9332,Milho,44.81640100402375,26.20507248282621
L2026-000389,ABC5177,Trigo,42.147616502910125,25.189296804841813
L2026-000390,ABC1033,Soja,39.81788275995601,25.340765470318207
L2026-000391,ABC7426,Milho,31.363490939355486,27.06884986197949
L2026-000392,ABC5816,Algodão,36.82098276482586,25.474460885098388
L2026-000393,ABC9289,Algodão,43.55321916030382,25.72615044778393
L2026-000394,ABC2300,Milho,38.97633926844716,25.499440225108525
L2026-000395,ABC4095,Soja,31.140167398444383,27.558124242637376
L2026-000396,ABC2831,Soja,30.628366552554798,25.59455743117311
L2026-000397,ABC9268,Soja,42.96290228807623,26.80290195574362
L2026-000398,ABC2582,Soja,43.66481941291904,28.093882493970664
L2026-000399,ABC7572,Milho,41.40272368118889,27.389540320324787
L2026-000400,ABC1343,Soja,44.24467422927219,25.00143546407434
L2026-000401,ABC4942,Soja,37.12973288633371,26.396197533942786
L2026-000402,ABC5038,Milho,30.505594511208635,28.21947044089227
L2026-000403,ABC9550,Milho,42.03266653975266,27.88706592350007
L2026-000404,ABC2703,Milho,41.75473605661977,27.03251051826688
L2026-000405,ABC8233,Soja,44.652539016094394,25.82748227096223
L2026-000406,ABC5267,Soja,44.166621836131384,25.104736758057783
L2026-000407,ABC5570,Trigo,43.53486203972048,28.220352031796615
L2026-000408,ABC6842,Milho,40.20085847840221,25.082511815362032
L2026-000409,ABC8413,Soja,23.816390614497198,25.816390614497198
L2026-000410,ABC1501,Milho,33.77611230494893,26.972339152775017
L2026-000411,ABC9552,Trigo,31.548410036653628,28.549559579883606
L2026-000412,ABC7312,Algodão,35.95402848779537,27.544233368888793
L2026-000413,ABC7107,Algodão,37.70105342461951,25.734385052927664
L2026-000414,ABC8857,Soja,31.193995917744914,27.66614684391975
L2026-000415,ABC6802,Milho,44.374316076351036,26.9260213448858
